term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
blacks,0.06879401931258977,0.01076526727490321,-0.003970812536685311,0.03226740784016694,0.007636322796175591,0.017862169412080173,-0.03572346395560677,0.03906336035364977,0.008460713251004302,-1.1463077139824326e-14
negroes,-0.027623232106566285,-0.0030487935452757505,0.017280271317468156,-0.0017540756363756435,-0.0084919943707819,-0.0013092042195005965,0.004441986851779625,0.00211466214928928,-0.004183443268691466,4.3305517209516256e-16
tito,0.02916684318611516,0.04008438027726522,-0.0143199752669589,0.04117935987651105,0.012820993349837636,-0.0316514297289378,0.041458391247116366,-0.022167801575912895,-0.012111970509417161,2.770008646891694e-15
mink,-0.02520923207281248,0.05600225492246731,0.04635324581491476,-0.025704594718136086,-0.014569516143158349,0.007422042450139647,-0.0033484956561183475,0.00342880109458628,0.005908385605381983,1.6898953452859958e-14
granada,0.029118950947617395,0.03795656746807353,-0.01223853995530532,0.040296056859084405,0.010774063157528059,-0.027620801122528706,0.04135806038154882,-0.021201856911546194,-0.011370204925328408,1.2660098349431666e-14
diggs,0.0077653379037813846,-0.04473958102082278,0.04869486276229882,-0.007057716206411111,0.03388972671571148,-0.008375273736276497,0.0162918685828887,-0.006626301618996306,-0.005337839018936987,9.687525077839034e-15
ali,0.028119851013214247,-0.0031741186015261692,0.002862921950563571,0.002004476615647051,0.004256683882295298,-0.004675253070496299,0.007389886432453458,-0.002228116968651544,0.008144306351232736,1.584082472451447e-14
benson,0.03308245246662784,-0.01278278262492402,-0.015290982871344512,-0.031408899799394874,-0.02403920880935948,-0.006991367342408611,0.0116652638065357,-0.005754942960468169,0.053810705714750905,6.268390044637345e-15
ruby,-0.021137940127077308,0.0024803860225701487,-0.029518309261776066,-0.013525748429940483,0.02308901691303301,0.04264274681447109,0.02535842096144352,0.009817026248679138,-0.002179287957996419,7.643111003665506e-15
reggie,0.03203112021202757,-0.003684506919755907,-0.012090100688103901,-0.025614842643742756,-0.018099895467223476,0.017281768726127106,-0.0170258939363812,-0.017115082251310903,-0.03596646318713986,4.183326473977952e-16
bavasi,0.004714651326743903,-0.04012418599887567,0.045394591857119165,-0.008202005920187903,0.03296974694625669,-0.008429861567784578,0.017004822073586782,-0.008808378685876266,-0.00893950895609437,-5.260104064434331e-16
edt,0.012019838307688937,-0.018926032637935394,0.0033592917597185428,-0.0142356670099087,-0.01332254765947518,-0.005453008423435517,0.009001682102457694,0.0014507172988684482,0.005661044330900085,-3.840391368105737e-17
dickerson,0.019350764481358137,0.02897488403700389,-0.006504630212715683,0.027072189637439903,0.006939519043401075,-0.01886397665162467,0.028789087762342548,-0.01474103119774637,-0.007650344379780247,-7.476095376511956e-16
mcnair,0.020707630365568424,0.0025010712095625753,0.00399883196697218,0.02508653518441343,0.014792298416138116,0.013218816090756131,-0.029072845486637064,0.03742128586625156,0.009483392822827919,9.437876451522489e-16
kodak,0.019505842576987575,-0.015557003160937227,0.009264118072001067,-0.0167978800930417,0.0016604483248556117,0.008036654621241859,-0.0051304208497490265,-0.013261044207123656,-0.02841585227621267,8.41162540478305e-17
tolbert,0.024454348620514873,0.002433845329530712,0.00700611760227195,0.0281923584306818,0.013321474451740343,0.014272218045441307,-0.03096371115368081,0.039453946265722246,0.010316241808396983,1.001239730635221e-15
percent,0.021926614950307517,-0.0014137096168169666,-0.0035291663114591417,-0.002426692851835646,-0.003560183694913197,0.0037103622115703346,-0.005870808696620213,0.003783318727172866,0.006770110538182976,2.2480599379038167e-16
campus,0.01067597677070226,-0.009890545870274204,0.014377850570948045,0.011257772460209044,0.015142529948483236,0.0032592079692886906,-0.011414617521505705,0.014152534259883175,0.002739216812249424,3.416963629972727e-16
ms,0.021650952280123797,0.001148036439573139,-0.008138196496004897,-0.00965203926083856,-0.008927537821303785,0.00413199681076992,-0.002463374760830066,-0.009373431422166413,-0.010032845564237615,8.198654057873517e-17
billion,0.020259817802683447,-0.003627164136310319,-0.008519583174608105,-0.012299915525364611,-0.010305875717787764,-0.006003526677151511,0.008995681688700238,-0.0030825398213239915,0.0318297791257801,-1.5722031489299406e-16
wills,0.00471626729188901,-0.02403312315586799,0.022837924916339427,-0.008245279882719553,0.01768725565925063,-0.003642720250634743,0.01212257703438093,-0.004960616002087736,0.00101156884025624,-3.190601584474597e-16
netterville,0.01921413105897567,0.0019123070446312443,0.005504806687499306,0.022151138766963927,0.010466872783510106,0.011213885607132284,-0.024328630192177406,0.03099952920878128,0.00810561856374036,7.832807629874916e-16
nov,0.009130706576613567,0.019453163913437058,0.00046257095412550374,0.015477820364400912,0.0029294226593129294,-0.008025040723713376,0.012752416883644231,-0.007035648012373018,-0.00248253006025019,-4.081957919869569e-16
norforms,-0.01045876277867071,-0.009788220160032966,0.0006071663194903843,0.018169964605584264,-0.01488859651164488,0.002173303941077176,-0.006612148098631197,0.001584721717361507,0.0013648825560420024,3.243158703038377e-16
dec,0.017491294023140862,0.0009904608334282935,0.006332495206198181,0.019766117135460243,0.010705235370164845,0.008425154223860955,-0.018873699027690594,0.025524111489504717,0.006215513154915024,6.1746486479003e-16
cent,-0.01186473639936904,-0.0042985328968156164,0.01116262865639228,0.004376713620265272,-4.47253595051303e-05,0.0032711830003831544,-0.002872512146502114,-0.01103999912948789,0.002642317330414006,-1.0163143665776354e-16
tobias,-0.002366383290660524,0.026924639198493274,0.014021722368368413,-0.0009245479124211025,-0.002637949269395457,-0.0018257301145254267,0.0070783650683546185,-0.0034890706698791755,0.00016908239777229948,-5.312137505074099e-16
mccollum,-0.016922006356577483,0.00019350016526877015,-0.02187006391345647,-0.006688215301043717,0.018561321204684886,0.029171979186865885,0.01931502256103522,0.008212013051178238,-9.574623575198163e-05,-5.15266956015286e-17
hurley,0.02090391222844986,-0.0017958655119182036,-0.007726368576864654,-0.016307452075376205,-0.01154398007361695,0.012855914309319788,-0.012961950446929375,-0.011919334696174467,-0.029605204841896673,3.1021153062836275e-16
dress,-0.013458069670068708,0.022050156237644863,0.012715234515515128,-0.011594981804936814,-0.00045587382070418796,0.01162559036580179,0.003992130089292972,0.0028583589260673106,0.0026486938505488836,-3.931714364496645e-16
lunch,-0.01850171348659202,-0.01039501043501196,-7.928837825684725e-05,0.024544246851402027,-0.01066944057263779,0.010806060040118234,-0.01528139732649617,-0.029930489140225516,0.01060943004496366,2.3059962974079737e-16
ashe,0.014559475473815402,0.018978283734036625,-0.006119269977650659,0.020148028429541547,0.005387031578764349,-0.013810400561264155,0.020679030190776264,-0.0106009284557719,-0.005685102462664602,-5.041822879324202e-16
