mag_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0,0.36055598519767085,0.03354243365081978,0.09601016235320746,0.3841573499221274,0.18046398817656914,0.1923006998322409,-0.4148926377400979,0.5256645967561014,0.13625876753732943,3.120311704901639e-14
1,0.06331482445691662,-0.5036711160075072,0.5666085374746506,-0.10179748163428766,0.4068113729086264,-0.10345442059441103,0.20753628110492006,-0.10689403581759543,-0.10754638681431795,3.1203117049010246e-14
2,0.33684329189870427,0.4104158201356868,-0.13158456809042515,0.4308001613517565,0.114512616986476,-0.291985464192495,0.43478890377888957,-0.22162959205005237,-0.11782753803367305,3.1203117049008605e-14
3,0.43339365866228496,-0.03480276696449298,-0.14888590057494436,-0.3124656048760046,-0.21990352567619809,0.2435738893801748,-0.2442257472180334,-0.22331025321951942,-0.5498565246793059,3.120311704901672e-14
4,0.37605751399384957,-0.1469262036667479,-0.16041990016773588,-0.34869901418585053,-0.24137472134786597,-0.08442825096725991,0.13313285412712456,-0.054756173051716484,0.6500708867180769,3.1203117049014146e-14
5,-0.27317163510378506,0.6225890216691489,0.5191224473996658,-0.27538822073951386,-0.14802122679831026,0.11009685763598884,-0.02945774140456384,0.019312381720150814,0.07252012991646818,3.1203117049011514e-14
6,-0.3621500611536496,-0.190189494956522,-0.0014424783968385807,0.44400458028036094,-0.19188450451053324,0.19329328658788975,-0.27183526093919547,-0.5294099454908092,0.18603514550809036,3.120311704900527e-14
7,-0.33659347379826704,0.0035976603646123073,-0.404321709397254,-0.12294905949114496,0.339222279569556,0.5302644536028316,0.34915250962012434,0.14760638290967099,-0.0017060897714910644,3.1203117049012114e-14
8,-0.286845385102278,-0.2561907435636918,-0.01903658402366622,0.12809650613496726,-0.5599098359322255,-0.22758088414582361,0.23104623018917927,0.43074252341550684,-0.22889458330143184,3.120311704900842e-14
9,-0.3114047190516635,0.06163538933866057,-0.3160500065766167,-0.22575921676224664,0.32008355662385723,-0.5620801671392188,-0.3952453915182374,0.012674114828131154,-0.03905380707973012,3.120311704901188e-14
